"","origFreq","origCR","correctedFreq","correctedCR","CR","Freq","counted"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,37,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018",28,FALSE
"3",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018",2,FALSE
"4",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","ACADEMIES N DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018",1,FALSE
"5",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OP-TIONS 2018",1,FALSE
"6",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2019",1,FALSE
"7",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS A CONSENSUS STUDY REPORT OF THE NATIONAL ACADEMIES OF SCIENCES ENGINEERING AND MEDICINE 2018",1,FALSE
"8",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS THE NATIONAL ACADEMIES OF SCIENCES ENGINEERING MEDICINE 2018",1,FALSE
"9",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","MEDICINE NATIONAL ACADEMIES OF SCIENCES DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018",1,FALSE
"10",NA,NA,0,"DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018","NATIONAL ACADEMIES OF SCIENCES ENGINEERING AND M DATA SCIENCE FOR UNDERGRADUATES OPPORTUNITIES AND OPTIONS 2018",1,FALSE
"11",NA,NA,17,"ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STATISTICS EDUCATION RESEARCH JOURNAL 16 1 PP 44-49 2017","ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STATISTICS EDUCATION RESEARCH JOURNAL 16 1 PP 44-49 2017",13,FALSE
"12",NA,NA,0,"ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STATISTICS EDUCATION RESEARCH JOURNAL 16 1 PP 44-49 2017","ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STATISTICS EDUCATION RESEARCH JOURNAL 16 PP 44-49 2017",1,FALSE
"13",NA,NA,0,"ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STATISTICS EDUCATION RESEARCH JOURNAL 16 1 PP 44-49 2017","ENGEL J STATISTICAL LITERACY FOR ACTIVE CITIZENSHIP A CALL FOR DATA SCIENCE EDUCATION STAT EDUC RES J 16 1 PP 44-49 2017",3,FALSE
"14",NA,NA,15,"ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2016","ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2016",13,FALSE
"15",NA,NA,0,"ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2016","ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2017",1,FALSE
"16",NA,NA,0,"ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2016","ONEIL C WEAPONS OF MATH DESTRUCTION HOW BIG DATA INCREASES INEQUALITY AND THREATENS DEMOCRACY 2017",1,FALSE
"17",NA,NA,20,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017",10,FALSE
"18",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 PP 745-766 2017",2,FALSE
"19",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 PP 745-766 2017",1,FALSE
"20",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 4 PP 745-766 2017",1,FALSE
"21",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 PP 745-766 2017",1,FALSE
"22",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 4 PP 745-766 2017",1,FALSE
"23",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPHICAL STATIST 26 4 PP 745-766 2017",1,FALSE
"24",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 PP 745-766 2017",1,FALSE
"25",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017",1,FALSE
"26",NA,NA,0,"DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO DAVID 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017",1,FALSE
"27",NA,NA,24,"LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021","LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021",9,FALSE
"28",NA,NA,0,"LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021","LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 PP 664-672 2021",1,FALSE
"29",NA,NA,0,"LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021","LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUC RES 50 PP 664-672 2021",1,FALSE
"30",NA,NA,0,"LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021","LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 PP 664-672 2021",1,FALSE
"31",NA,NA,0,"LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K–12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021","LEE VR WILKERSON MH LANOUETTE K A CALL FOR A HUMANISTIC STANCE TOWARD K-12 DATA SCIENCE EDUCATION EDUCATIONAL RESEARCHER 50 9 PP 664-672 2021",5,FALSE
