"","correctedCR","CR"
"1","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 PP 21-26 2001"
"2","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001","CLEVELAND W S DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001"
"3","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001","CLEVELAND WS 2001 INT STAT REV V69 P21 DOI 102307/1403527"
"4","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INT STAT REV 69 1 PP 21-26 2001"
"5","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS INTERNATIONAL STATISTICAL REVIEW 69 1 PP 21-26 2001","CLEVELAND WS DATA SCIENCE AN ACTION PLAN FOR EXPANDING THE TECHNICAL AREAS OF THE FIELD OF STATISTICS ISI REVIEW 69 PP 21-26 2001"
"6","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON N J NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P LANG D T WARD M D DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"7","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O ET AL DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 PP 343-353 2015"
"8","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P LANG DT ET AL DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"9","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P LANG DT WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 PP 343-353 2015"
"10","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P LANG DT WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"11","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P LANG DT WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TOTHINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"12","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D ET AL DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"13","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D ET AL DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO AIJTHINK WITH DATAAI THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"14","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D ET AL DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO ATHINK WITH DATAA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"15","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"16","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O WARD MD DATA SCIENCE IN STATISTICS CURRICULUA PREPARING STUDENTS TO THINK WITH DATA  THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
