Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Pyles C.","",[No title available],2022,"UC Berkeley Data Science Education Program, Otter-Grader: A Python and R Autograding Solution",,,,"","",,1,,,,"Pyles, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85138761414
"Horton N.J.","","Collection of Papers on Teaching Simpson’s Paradox, Confounding, and Causal Inference’",2022,"Journal of Statistics and Data Science Education",,,,"","",,1,,,,"Horton, N.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85149887356
"Weiland T., Engledowl C.","","Transforming curriculum and building capacity in K-12 data science education",2022,"Harvard Data Sci. Rev.","4","4",,"1","20",,1,,,,"Weiland, T.; Engledowl, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85149737497
"Kahn J. B., Peralta L. M., Rubel L. H., Lim V. Y., Jiang S., Herbel-Eisenmann B.","","Notice, wonder, feel, act, and reimagine as a path toward social justice in data science education",2022,"Educational Technology & Society","25","4",,"80","92",,1,,,,"Kahn, J. B.; Peralta, L. M.; Rubel, L. H.; Lim, V. Y.; Jiang, S.; Herbel-Eisenmann, B.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85147025525
"Kim B., Kim J., Moon W., Seo Y., Kim J., Oh J., Kim Y., Kim J.","","The Effect of Data Science Education on Elementary School Students’ Computational Thinking: Focusing on Micro:bit’s Sensor Function",2021,"J. Korean Assoc. Inf. Educ","25",,,"337","346",,,,,,"Kim, B.; Kim, J.; Moon, W.; Seo, Y.; Kim, J.; Oh, J.; Kim, Y.; Kim, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85143674273
"Dogucu M., Çetinkaya-Rundel M.","","Web scraping in the statistics and data science curriculum: Challenges and opportunities",2021,"Journal of Statistics and Data Science Education","29",,,"S112","S122",,2,,,,"Dogucu, M.; Çetinkaya-Rundel, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85120894004
"Witmer J.","","Inclusivity in statistics and data science education",2021,"Journal of Statistics and Data Science Education","29","1",,"2","3",,3,,,,"Witmer, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85119654152
"Althubaiti A.","","Attitudes of Medical Students Toward Statistics in Medical Research: Evidence From Saudi Arabia",2021,"Journal of Statistics and Data Science Education","29","1",,"115","121",,3,,,,"Althubaiti, A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85139442410
"Kim A. Y., Escobedo-Land A.","","'Correction to OkCupid data for introductory statistics and data science courses",2021,"Journal of Statistics and Data Science Education","29","2",,"216","216",,1,,,,"Kim, A. Y.; Escobedo-Land, A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85114929849
"Çetinkaya-Rundel M., Ellison V.","","A fresh look at introductory data science",2021,"Journal of Statistics and Data Science Education","29","sup1",,"S16","S26",,6,,,,"Çetinkaya-Rundel, M.; Ellison, V.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-85122681621
